author,total_messages,total_words,avg_messages_per_day,avg_words_per_day
nottrump,129,2056,0.3524590163934426,5.617486338797814
the chairman of the server,138,933,0.3770491803278688,2.5491803278688523
Fmr. Ambassador Ducky,251,2497,0.6857923497267759,6.8224043715847
Mac,13,66,0.03551912568306011,0.18032786885245902
GEN Zach LeMaire,55,497,0.15027322404371585,1.3579234972677596
Fmr. Senator CG (R-FT),203,1716,0.5546448087431693,4.688524590163935
Sec of Environment Oliver Hersey,10,277,0.0273224043715847,0.7568306010928961
Wilson,8,29,0.02185792349726776,0.07923497267759563
Amb. Pluribus (D-LN),545,5121,1.489071038251366,13.991803278688524
Konnor Harris,200,1768,0.546448087431694,4.830601092896175
Dyno,31,0,0.08469945355191257,0.0
FmrVPJohnRossIII,66,495,0.18032786885245902,1.3524590163934427
Eternal Governor Raffaella carrà,45,193,0.12295081967213115,0.5273224043715847
tiredcampaigner,1,7,0.00273224043715847,0.01912568306010929
Mr. Deb,2,8,0.00546448087431694,0.02185792349726776
Corey,79,449,0.21584699453551912,1.226775956284153
Senile. derek #NotANonce,378,5101,1.0327868852459017,13.937158469945356
Nothing Noah (L-AR-JK),35,220,0.09562841530054644,0.6010928961748634
Alexander Morales (L-FT),9,60,0.02459016393442623,0.16393442622950818
John Hoffman (I-JK),3,14,0.00819672131147541,0.03825136612021858
Former Speaker Pickle Hersey,10,84,0.0273224043715847,0.22950819672131148
moose,6,12,0.01639344262295082,0.03278688524590164
empy smash,192,1716,0.5245901639344263,4.688524590163935
Secretary Toward (JOLLY),140,725,0.3825136612021858,1.9808743169398908
Sen. _Ku Klux Kayla_,28,266,0.07650273224043716,0.726775956284153
James Carter (D-JK),23,279,0.06284153005464481,0.7622950819672131
The Dawg (Wolf),140,1065,0.3825136612021858,2.9098360655737703
Theresa May (R-MA),34,144,0.09289617486338798,0.39344262295081966
Lucas Posting (R),29,141,0.07923497267759563,0.38524590163934425
Former President Joey,14,60,0.03825136612021858,0.16393442622950818
NSA Norman Nord,204,1209,0.5573770491803278,3.30327868852459
Rep. Diana Allar Meyer (D-OL),205,2058,0.5601092896174863,5.622950819672131
Senator Axel!,486,4921,1.3278688524590163,13.44535519125683
Rigger-on-Break,270,1734,0.7377049180327869,4.737704918032787
Fmr. Speaker Lockhart,167,848,0.4562841530054645,2.3169398907103824
Ghost Rosa Berry,23,370,0.06284153005464481,1.010928961748634
CG,5,73,0.01366120218579235,0.1994535519125683
Governor Carol Marks (R),34,1100,0.09289617486338798,3.0054644808743167
Dr. Pierre Fontenot PhD,31,263,0.08469945355191257,0.7185792349726776
Head of Records Sullivan,55,363,0.15027322404371585,0.9918032786885246
Governor Athena,134,910,0.366120218579235,2.4863387978142075
Zimmermann (DFL-FT),162,1195,0.4426229508196721,3.2650273224043715
Deb Lickington (PC),278,1858,0.7595628415300546,5.076502732240437
president kyo (D),112,2236,0.30601092896174864,6.109289617486339
Head of IR and MC _ Empy,10,243,0.0273224043715847,0.6639344262295082
Watluhum Ze’hat’a M’ro’orunin,44,341,0.12021857923497267,0.9316939890710383
Senate MajLdr Long (R-FT),147,1396,0.4016393442622951,3.814207650273224
Sen. Philip Hammond,5,39,0.01366120218579235,0.10655737704918032
Carl-bot,3,7,0.00819672131147541,0.01912568306010929
Vice President Mark (I-CA),94,887,0.2568306010928962,2.4234972677595628
Former Senator Kate Kasparian,55,694,0.15027322404371585,1.8961748633879782
someonetooksorrow,11,91,0.030054644808743168,0.24863387978142076
YAGPDB.xyz,3,15,0.00819672131147541,0.040983606557377046
Senator Quantum Kearsley (D-OL),186,1594,0.5081967213114754,4.355191256830601
Senator Seaver (R_L-PC),169,983,0.46174863387978143,2.685792349726776
Senator Miller (FT),11,102,0.030054644808743168,0.2786885245901639
Senator Ronald Ristley,4,44,0.01092896174863388,0.12021857923497267
Justice Alexa Rosen,3,3,0.00819672131147541,0.00819672131147541
